 P5K-E R102G        eM-Test Expert (R)     licence #50871 ASUSTEK COMPUTER INC, 

 Board Outline Contour             INCH units               6-Jul-2007 9:48

 User Datum  X  0.000,  Y  0.000,  Rotation   0.0

      X           Y         Radius

    0.160       0.000       0.000
    9.440       0.000       0.000
    9.440       0.000       0.000
    9.520       0.021       0.000
    9.579       0.080       0.000
    9.600       0.160       0.000
    9.600      11.840       0.000
    9.600      11.840       0.000
    9.579      11.920       0.000
    9.520      11.979       0.000
    9.440      12.000       0.000
    0.160      12.000       0.000
    0.160      12.000       0.000
    0.080      11.979       0.000
    0.021      11.920       0.000
    0.000      11.840       0.000
    0.000       0.160       0.000
    0.000       0.160       0.000
    0.021       0.080       0.000
    0.080       0.021       0.000
    0.160       0.000       0.000

