 P5K-E R102G        eM-Test Expert (R)     licence #50871 ASUSTEK COMPUTER INC, 

 Test Fixture Nails    1569/9020 Selected Drills           6-Jul-2007 9:48
                       1569 Nails, 2431 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via

$1         0.240     1.445   1  A2   (B)  #877  I2_PCS3#_R       V VIA .
$2         0.268     1.597   1  A2   (B)  #857  T1_ASREXT1       V VIA .
$3         0.353     1.958   1  A2   (B)  #870  T1_ASREXT0       V VIA .
$4         0.320     2.465   1  A2   (B)  #1090 P_3VA_ADJ_10     V VIA .
$5         0.310     2.625   2  A3   (B)  #1563 A_BIAS_MIC2      V VIA .
$6         0.240     2.645   2  A3   (B)  #1402 A_LINE2_R_L      V VIA .
$7         0.255     2.860   1  A3   (B)  #1573 A_SUR_L_C        V PIN ACE7.1
$8         0.255     3.065   1  A3   (B)  #1571 A_CEN_C          V PIN ACE5.1
$9         0.275     3.185   1  A3   (B)  #1566 A_LOUT_L_C       V VIA .
$10        0.250     3.375   1  A3   (B)  #1565 A_BIAS_LOUT      V VIA .
$11        0.140     3.525   1  A3   (B)  #1561 A_VREF_FILT      V VIA .
$12        0.163     3.633   1  A3   (B)  #1562 A_BIAS_LINE      V VIA .
$13        0.215     5.099   1  A5   (B)  #1429 L1_ACTERMINATION1 V VIA .
$14        0.215     5.251   1  A5   (B)  #1426 L1_ACTERMINATION0 V VIA .
$15        0.254     5.360   1  A5   (B)  #1408 L1_RSET          V VIA .
$16        0.225     5.940   1  A5   (B)  #1411 A_SENSE_B        V VIA .
$17        0.235     6.055   1  A5   (B)  #1684 A_LOUT_R_L       V VIA .
$18        0.257     6.432   1  A6   (B)  #1587 A_MIC1_L         V PIN AUDIO.2
$19        0.257     6.530   1  A6   (B)  #1439 A_JD_MIC1        V PIN AUDIO.3
$20        0.257     6.826   2  A6   (B)  #1588 A_MIC1_R         V PIN AUDIO.5
$21        0.257     6.904   2  A6   (B)  #1593 A_SUR_L          V PIN AUDIO.15
